site,season,burned,tsf,ndvi_abs,ndvi_het
FR-RO,16_3,prefire,-4,0.143,0.0303
GY-FO,16_3,prefire,-4,0.145,0.025
IR-ME1,16_3,prefire,-4,0.149,0.0224
IRC01,16_3,prefire,-4,0.112,0.026
IRC02,16_3,prefire,-4,0.144,0.0338
IRC03,16_3,prefire,-4,0.14,0.0291
IRC04,16_3,prefire,-4,0.144,0.0223
IRC05,16_3,prefire,-4,0.145,0.0233
IRC06,16_3,prefire,-4,0.153,0.0254
IRC07,16_3,prefire,-4,0.149,0.0237
IRC09,16_3,prefire,-4,0.13,0.0215
IRC10,16_3,prefire,-4,0.148,0.0247
IRC12,16_3,prefire,-4,0.15,0.0287
IRC13,16_3,prefire,-4,0.14,0.0181
LI-ME2,16_3,prefire,-4,0.149,0.0274
LO-WE2,16_3,prefire,-4,0.145,0.034
MO-FR1,16_3,prefire,-4,0.145,0.0299
OR-LO,16_3,prefire,-4,0.127,0.0386
OV-TR,16_3,prefire,-4,0.123,0.0255
RO-CA2,16_3,prefire,-4,0.127,0.0298
SO-GY,16_3,prefire,-4,0.139,0.0329
UP-WE,16_3,prefire,-4,0.136,0.0286
WE-TR1,16_3,prefire,-4,0.158,0.0364
WE-TR3,16_3,prefire,-4,0.142,0.0309
AG-CH,16_4,prefire,-3,0.142,0.0314
AU-TR,16_4,prefire,-3,0.151,0.0381
BO-SP,16_4,prefire,-3,0.145,0.0271
BO-TR,16_4,prefire,-3,0.147,0.0294
CG-001,16_4,prefire,-15,0.254,0.0917
CG-002,16_4,prefire,-15,0.255,0.0748
CG-003,16_4,prefire,-15,0.2,0.0728
CG-004,16_4,prefire,-15,0.269,0.0607
CG-005,16_4,prefire,-15,0.227,0.0614
CG-006,16_4,prefire,-15,0.192,0.0806
CG-016,16_4,prefire,-15,0.26,0.0752
CG-017,16_4,prefire,-15,0.219,0.0549
CG-018,16_4,prefire,-15,0.286,0.0691
CG-019,16_4,prefire,-15,0.187,0.0533
CG-020,16_4,prefire,-15,0.247,0.0803
CG-029,16_4,prefire,-15,0.291,0.0785
CG-030,16_4,prefire,-15,0.302,0.0701
CG-031,16_4,prefire,-15,0.239,0.0878
CG-033,16_4,prefire,-15,0.255,0.0765
CG-042,16_4,prefire,-15,0.259,0.0901
CG-044,16_4,prefire,-15,0.311,0.0578
CG-045,16_4,prefire,-15,0.2,0.1091
CG-047,16_4,prefire,-15,0.249,0.0765
CG-048,16_4,prefire,-15,0.254,0.0641
CG-056,16_4,prefire,-15,0.202,0.0836
CG-057,16_4,prefire,-15,0.272,0.0992
CG-058,16_4,prefire,-15,0.228,0.1487
CG-059,16_4,prefire,-15,0.335,0.0667
CG-069,16_4,prefire,-15,0.324,0.0964
CG-070,16_4,prefire,-15,0.244,0.1051
CG-071,16_4,prefire,-15,0.293,0.0816
CG-073,16_4,prefire,-15,0.252,0.0833
CG-074,16_4,prefire,-15,0.302,0.0927
CG-075,16_4,prefire,-15,0.287,0.0627
CG-084,16_4,prefire,-15,0.329,0.0649
CG-085,16_4,prefire,-15,0.259,0.0801
CG-088,16_4,prefire,-15,0.277,0.0972
CG-089,16_4,prefire,-15,0.228,0.0739
CG-090,16_4,prefire,-15,0.238,0.0977
CG-092,16_4,prefire,-15,0.29,0.0814
CG-096,16_4,prefire,-15,0.233,0.0736
CG-097,16_4,prefire,-15,0.292,0.0786
CG-098,16_4,prefire,-15,0.287,0.0694
CG-102,16_4,prefire,-15,0.245,0.0602
CG-103,16_4,prefire,-15,0.239,0.0729
CO-TR,16_4,prefire,-3,0.144,0.0318
DO-CA3,16_4,prefire,-3,0.123,0.0556
DR-SP2,16_4,prefire,-3,0.116,0.0428
EA-MW2,16_4,prefire,-3,0.118,0.0309
FR-RO,16_4,prefire,-3,0.13,0.034
GY-FO,16_4,prefire,-3,0.132,0.0317
IR-ME1,16_4,prefire,-3,0.148,0.0337
IRC01,16_4,prefire,-3,0.121,0.0299
IRC02,16_4,prefire,-3,0.136,0.0342
IRC03,16_4,prefire,-3,0.147,0.0374
IRC04,16_4,prefire,-3,0.151,0.0283
IRC05,16_4,prefire,-3,0.147,0.0274
IRC06,16_4,prefire,-3,0.153,0.0328
IRC07,16_4,prefire,-3,0.149,0.0361
IRC09,16_4,prefire,-3,0.151,0.0318
IRC10,16_4,prefire,-3,0.156,0.0323
IRC12,16_4,prefire,-3,0.145,0.0341
IRC13,16_4,prefire,-3,0.134,0.0232
LI-ME2,16_4,prefire,-3,0.148,0.0372
LO-WE2,16_4,prefire,-3,0.142,0.0378
MO-FR1,16_4,prefire,-3,0.131,0.034
OR-LO,16_4,prefire,-3,0.123,0.0476
OV-TR,16_4,prefire,-3,0.129,0.0306
RO-CA2,16_4,prefire,-3,0.123,0.0407
SO-GY,16_4,prefire,-3,0.128,0.0425
UP-WE,16_4,prefire,-3,0.134,0.0356
WE-TR1,16_4,prefire,-3,0.157,0.0407
WE-TR3,16_4,prefire,-3,0.142,0.0383
AG-CH,17_1,prefire,-2,0.338,0.0302
AU-TR,17_1,prefire,-2,0.315,0.0435
BO-SP,17_1,prefire,-2,0.334,0.0319
BO-TR,17_1,prefire,-2,0.323,0.056
CG-001,17_1,prefire,-14,0.317,0.0833
CG-002,17_1,prefire,-14,0.347,0.0307
CG-003,17_1,prefire,-14,0.341,0.0453
CG-004,17_1,prefire,-14,0.311,0.0348
CG-005,17_1,prefire,-14,0.29,0.0319
CG-006,17_1,prefire,-14,0.28,0.0311
CG-016,17_1,prefire,-14,0.318,0.0391
CG-017,17_1,prefire,-14,0.242,0.0474
CG-018,17_1,prefire,-14,0.324,0.0263
CG-019,17_1,prefire,-14,0.264,0.0383
CG-020,17_1,prefire,-14,0.313,0.037
CG-029,17_1,prefire,-14,0.328,0.0382
CG-030,17_1,prefire,-14,0.329,0.035
CG-031,17_1,prefire,-14,0.304,0.0336
CG-033,17_1,prefire,-14,0.306,0.0344
CG-042,17_1,prefire,-14,0.297,0.0304
CG-044,17_1,prefire,-14,0.309,0.0377
CG-045,17_1,prefire,-14,0.315,0.0369
CG-047,17_1,prefire,-14,0.311,0.0322
CG-048,17_1,prefire,-14,0.317,0.0259
CG-056,17_1,prefire,-14,0.347,0.05
CG-057,17_1,prefire,-14,0.316,0.0322
CG-058,17_1,prefire,-14,0.334,0.0458
CG-059,17_1,prefire,-14,0.348,0.0254
CG-069,17_1,prefire,-14,0.343,0.0278
CG-070,17_1,prefire,-14,0.311,0.0364
CG-071,17_1,prefire,-14,0.324,0.0294
CG-073,17_1,prefire,-14,0.304,0.0306
CG-074,17_1,prefire,-14,0.318,0.0277
CG-075,17_1,prefire,-14,0.302,0.03
CG-084,17_1,prefire,-14,0.335,0.024
CG-085,17_1,prefire,-14,0.315,0.0327
CG-088,17_1,prefire,-14,0.327,0.0411
CG-089,17_1,prefire,-14,0.311,0.0314
CG-090,17_1,prefire,-14,0.305,0.0321
CG-092,17_1,prefire,-14,0.318,0.0254
CG-096,17_1,prefire,-14,0.316,0.0265
CG-097,17_1,prefire,-14,0.337,0.0366
CG-098,17_1,prefire,-14,0.308,0.0326
CG-102,17_1,prefire,-14,0.296,0.0665
CG-103,17_1,prefire,-14,0.307,0.0326
CO-TR,17_1,prefire,-2,0.353,0.0372
DO-CA3,17_1,prefire,-2,0.302,0.0368
DR-SP2,17_1,prefire,-2,0.338,0.039
EA-MW2,17_1,prefire,-2,0.244,0.0667
FR-RO,17_1,prefire,-2,0.275,0.0459
GY-FO,17_1,prefire,-2,0.271,0.0237
IR-ME1,17_1,prefire,-2,0.283,0.037
IRC01,17_1,prefire,-2,0.317,0.0968
IRC02,17_1,prefire,-2,0.325,0.0425
IRC03,17_1,prefire,-2,0.305,0.0422
IRC04,17_1,prefire,-2,0.268,0.0493
IRC05,17_1,prefire,-2,0.244,0.0458
IRC06,17_1,prefire,-2,0.259,0.0492
IRC07,17_1,prefire,-2,0.268,0.0456
IRC09,17_1,prefire,-2,0.325,0.0336
IRC10,17_1,prefire,-2,0.313,0.0492
IRC12,17_1,prefire,-2,0.269,0.0497
IRC13,17_1,prefire,-2,0.276,0.0327
LI-ME2,17_1,prefire,-2,0.311,0.0317
LO-WE2,17_1,prefire,-2,0.285,0.0298
MO-FR1,17_1,prefire,-2,0.291,0.0302
OR-LO,17_1,prefire,-2,0.325,0.0431
OV-TR,17_1,prefire,-2,0.275,0.0649
RO-CA2,17_1,prefire,-2,0.306,0.0341
SO-GY,17_1,prefire,-2,0.278,0.0392
UP-WE,17_1,prefire,-2,0.307,0.0298
WE-TR1,17_1,prefire,-2,0.302,0.0272
WE-TR3,17_1,prefire,-2,0.308,0.0282
AG-CH,17_2,prefire,-1,0.213,0.0226
AU-TR,17_2,prefire,-1,0.226,0.0285
BO-SP,17_2,prefire,-1,0.202,0.031
BO-TR,17_2,prefire,-1,0.209,0.033
CG-001,17_2,prefire,-13,0.272,0.0731
CG-002,17_2,prefire,-13,0.252,0.0519
CG-003,17_2,prefire,-13,0.273,0.0659
CG-004,17_2,prefire,-13,0.33,0.0375
CG-005,17_2,prefire,-13,0.313,0.0397
CG-006,17_2,prefire,-13,0.311,0.0294
CG-016,17_2,prefire,-13,0.323,0.0481
CG-017,17_2,prefire,-13,0.248,0.054
CG-018,17_2,prefire,-13,0.348,0.0238
CG-019,17_2,prefire,-13,0.263,0.0411
CG-020,17_2,prefire,-13,0.321,0.0455
CG-029,17_2,prefire,-13,0.349,0.0507
CG-030,17_2,prefire,-13,0.347,0.0362
CG-031,17_2,prefire,-13,0.335,0.0345
CG-033,17_2,prefire,-13,0.333,0.0436
CG-042,17_2,prefire,-13,0.327,0.0342
CG-044,17_2,prefire,-13,0.347,0.0476
CG-045,17_2,prefire,-13,0.345,0.0359
CG-047,17_2,prefire,-13,0.344,0.035
CG-048,17_2,prefire,-13,0.332,0.0392
CG-056,17_2,prefire,-13,0.354,0.0461
CG-057,17_2,prefire,-13,0.345,0.03
CG-058,17_2,prefire,-13,0.36,0.0433
CG-059,17_2,prefire,-13,0.376,0.028
CG-069,17_2,prefire,-13,0.373,0.0257
CG-070,17_2,prefire,-13,0.336,0.0356
CG-071,17_2,prefire,-13,0.347,0.0262
CG-073,17_2,prefire,-13,0.338,0.0329
CG-074,17_2,prefire,-13,0.361,0.0306
CG-075,17_2,prefire,-13,0.34,0.0359
CG-084,17_2,prefire,-13,0.378,0.0267
CG-085,17_2,prefire,-13,0.353,0.0327
CG-088,17_2,prefire,-13,0.34,0.0379
CG-089,17_2,prefire,-13,0.339,0.0311
CG-090,17_2,prefire,-13,0.332,0.0371
CG-092,17_2,prefire,-13,0.351,0.0441
CG-096,17_2,prefire,-13,0.328,0.0361
CG-097,17_2,prefire,-13,0.288,0.0749
CG-098,17_2,prefire,-13,0.323,0.0504
CG-102,17_2,prefire,-13,0.309,0.0558
CG-103,17_2,prefire,0,0.312,0.0543
CO-TR,17_2,prefire,-1,0.224,0.0218
DO-CA3,17_2,prefire,-1,0.226,0.0267
DR-SP2,17_2,prefire,-1,0.214,0.0274
EA-MW2,17_2,prefire,-1,0.192,0.0421
FR-RO,17_2,prefire,-1,0.219,0.0321
GY-FO,17_2,prefire,-1,0.214,0.017
IR-ME1,17_2,prefire,-1,0.212,0.027
IRC01,17_2,prefire,-1,0.181,0.0331
IRC02,17_2,prefire,-1,0.223,0.0316
IRC03,17_2,prefire,-1,0.222,0.0263
IRC04,17_2,prefire,-1,0.201,0.0326
IRC05,17_2,prefire,-1,0.194,0.0294
IRC06,17_2,prefire,-1,0.21,0.0341
IRC07,17_2,prefire,-1,0.209,0.0339
IRC09,17_2,prefire,-1,0.205,0.022
IRC10,17_2,prefire,-1,0.223,0.0275
IRC12,17_2,prefire,-1,0.211,0.0386
IRC13,17_2,prefire,-1,0.206,0.0219
LI-ME2,17_2,prefire,-1,0.226,0.0264
LO-WE2,17_2,prefire,-1,0.227,0.0349
MO-FR1,17_2,prefire,-1,0.224,0.0275
OR-LO,17_2,prefire,-1,0.195,0.0303
OV-TR,17_2,prefire,-1,0.193,0.0389
RO-CA2,17_2,prefire,-1,0.198,0.0236
SO-GY,17_2,prefire,-1,0.216,0.0281
UP-WE,17_2,prefire,-1,0.223,0.0298
WE-TR1,17_2,prefire,-1,0.242,0.0391
WE-TR3,17_2,prefire,-1,0.228,0.0358
AG-CH,17_3,unburned_post,1,0.186,0.0236
AU-TR,17_3,unburned_post,1,0.184,0.0295
BO-SP,17_3,unburned_post,1,0.174,0.0246
BO-TR,17_3,unburned_post,1,0.18,0.0278
CG-001,17_3,prefire,-12,0.219,0.0668
CG-002,17_3,prefire,-12,0.194,0.0411
CG-003,17_3,prefire,-12,0.202,0.0512
CG-004,17_3,prefire,-12,0.297,0.0442
CG-005,17_3,prefire,-12,0.265,0.0467
CG-006,17_3,prefire,-12,0.263,0.0455
CG-016,17_3,prefire,-12,0.279,0.0554
CG-017,17_3,prefire,-12,0.221,0.0482
CG-018,17_3,prefire,-12,0.313,0.0397
CG-019,17_3,prefire,-12,0.228,0.0371
CG-020,17_3,prefire,-12,0.28,0.0502
CG-029,17_3,prefire,-12,0.307,0.0582
CG-030,17_3,prefire,-12,0.314,0.045
CG-031,17_3,prefire,-12,0.295,0.0493
CG-033,17_3,prefire,-12,0.299,0.0526
CG-042,17_3,prefire,-12,0.29,0.0485
CG-044,17_3,prefire,-12,0.313,0.0452
CG-045,17_3,prefire,-12,0.283,0.0597
CG-047,17_3,prefire,-12,0.307,0.043
CG-048,17_3,prefire,-12,0.29,0.0393
CG-056,17_3,prefire,-12,0.254,0.0556
CG-057,17_3,prefire,-12,0.307,0.0591
CG-058,17_3,prefire,-12,0.297,0.0809
CG-059,17_3,prefire,-12,0.347,0.04
CG-069,17_3,prefire,-12,0.332,0.0534
CG-070,17_3,prefire,-12,0.289,0.0519
CG-071,17_3,prefire,-12,0.312,0.0421
CG-073,17_3,prefire,-12,0.299,0.0491
CG-074,17_3,prefire,-12,0.329,0.0455
CG-075,17_3,prefire,-12,0.306,0.0393
CG-084,17_3,prefire,-12,0.346,0.0396
CG-085,17_3,prefire,-12,0.303,0.0493
CG-088,17_3,prefire,-12,0.293,0.0605
CG-089,17_3,prefire,-12,0.285,0.0428
CG-090,17_3,prefire,-12,0.28,0.0586
CG-092,17_3,prefire,-12,0.314,0.0522
CG-096,17_3,prefire,-12,0.268,0.0433
CG-097,17_3,prefire,-12,0.23,0.0883
CG-098,17_3,prefire,-12,0.287,0.058
CG-102,17_3,prefire,-12,0.245,0.0579
CG-103,17_3,prefire,-12,0.244,0.0569
CO-TR,17_3,unburned_post,1,0.182,0.0282
DO-CA3,17_3,unburned_post,1,0.163,0.0404
DR-SP2,17_3,unburned_post,1,0.158,0.0363
EA-MW2,17_3,unburned_post,1,0.146,0.0477
FR-RO,17_3,unburned_post,1,0.179,0.0329
GY-FO,17_3,burned_post,1,0.136,0.0462
IR-ME1,17_3,unburned_post,1,0.179,0.0261
IRC01,17_3,unburned_post,1,0.154,0.0318
IRC02,17_3,unburned_post,1,0.191,0.0339
IRC03,17_3,unburned_post,1,0.183,0.0301
IRC04,17_3,unburned_post,1,0.173,0.0286
IRC05,17_3,unburned_post,1,0.172,0.0275
IRC06,17_3,unburned_post,1,0.183,0.0312
IRC07,17_3,unburned_post,1,0.178,0.0309
IRC09,17_3,unburned_post,1,0.167,0.0245
IRC10,17_3,unburned_post,1,0.185,0.0287
IRC12,17_3,unburned_post,1,0.179,0.0342
IRC13,17_3,unburned_post,1,0.174,0.0215
LI-ME2,17_3,unburned_post,1,0.182,0.0308
LO-WE2,17_3,burned_post,1,0.096,0.0283
MO-FR1,17_3,unburned_post,1,0.185,0.0318
OR-LO,17_3,unburned_post,1,0.171,0.0369
OV-TR,17_3,burned_post,1,0.092,0.0247
RO-CA2,17_3,unburned_post,1,0.169,0.036
SO-GY,17_3,burned_post,1,0.109,0.0353
UP-WE,17_3,burned_post,1,0.097,0.031
WE-TR1,17_3,burned_post,1,0.098,0.0327
WE-TR3,17_3,burned_post,1,0.104,0.0307
AG-CH,17_4,unburned_post,2,0.249,0.0604
AU-TR,17_4,unburned_post,2,0.244,0.0673
BO-SP,17_4,unburned_post,2,0.248,0.0539
BO-TR,17_4,unburned_post,2,0.233,0.0616
CG-001,17_4,prefire,-11,0.177,0.0604
CG-002,17_4,prefire,-11,0.165,0.0509
CG-003,17_4,prefire,-11,0.162,0.0582
CG-004,17_4,prefire,-11,0.286,0.0619
CG-005,17_4,prefire,-11,0.241,0.0633
CG-006,17_4,prefire,-11,0.213,0.0805
CG-016,17_4,prefire,-11,0.259,0.0732
CG-017,17_4,prefire,-11,0.215,0.0526
CG-018,17_4,prefire,-11,0.301,0.0661
CG-019,17_4,prefire,-11,0.193,0.0529
CG-020,17_4,prefire,-11,0.25,0.0712
CG-029,17_4,prefire,-11,0.288,0.0797
CG-030,17_4,prefire,-11,0.294,0.0664
CG-031,17_4,prefire,-11,0.255,0.0828
CG-033,17_4,prefire,-11,0.27,0.0744
CG-042,17_4,prefire,-11,0.27,0.0852
CG-044,17_4,prefire,-11,0.297,0.053
CG-045,17_4,prefire,-11,0.212,0.1005
CG-047,17_4,prefire,-11,0.273,0.0721
CG-048,17_4,prefire,-11,0.252,0.0548
CG-056,17_4,prefire,-11,0.212,0.0815
CG-057,17_4,prefire,-11,0.274,0.092
CG-058,17_4,prefire,-11,0.232,0.1334
CG-059,17_4,prefire,-11,0.341,0.064
CG-069,17_4,prefire,-11,0.328,0.0905
CG-070,17_4,prefire,-11,0.251,0.0938
CG-071,17_4,prefire,-11,0.291,0.0724
CG-073,17_4,prefire,-11,0.273,0.077
CG-074,17_4,prefire,-11,0.31,0.0831
CG-075,17_4,prefire,-11,0.287,0.0579
CG-084,17_4,prefire,-11,0.339,0.0596
CG-085,17_4,prefire,-11,0.253,0.073
CG-088,17_4,prefire,-11,0.275,0.0906
CG-089,17_4,prefire,-11,0.234,0.0672
CG-090,17_4,prefire,-11,0.246,0.0903
CG-092,17_4,prefire,-11,0.284,0.076
CG-096,17_4,prefire,-11,0.235,0.0626
CG-097,17_4,prefire,-11,0.225,0.0801
CG-098,17_4,prefire,-11,0.263,0.0676
CG-102,17_4,prefire,-11,0.22,0.0627
CG-103,17_4,prefire,-11,0.209,0.0696
CO-TR,17_4,unburned_post,2,0.287,0.079
DO-CA3,17_4,unburned_post,2,0.183,0.1118
DR-SP2,17_4,unburned_post,2,0.213,0.0907
EA-MW2,17_4,unburned_post,2,0.171,0.0522
FR-RO,17_4,unburned_post,2,0.203,0.0527
GY-FO,17_4,burned_post,2,0.217,0.0499
IR-ME1,17_4,unburned_post,2,0.211,0.0553
IRC01,17_4,unburned_post,2,0.233,0.0883
IRC02,17_4,unburned_post,2,0.253,0.0863
IRC03,17_4,unburned_post,2,0.234,0.0636
IRC04,17_4,unburned_post,2,0.218,0.053
IRC05,17_4,unburned_post,2,0.194,0.0521
IRC06,17_4,unburned_post,2,0.195,0.0509
IRC07,17_4,unburned_post,2,0.187,0.0562
IRC09,17_4,unburned_post,2,0.267,0.0762
IRC10,17_4,unburned_post,2,0.254,0.0667
IRC12,17_4,unburned_post,2,0.201,0.057
IRC13,17_4,unburned_post,2,0.193,0.0395
LI-ME2,17_4,unburned_post,2,0.23,0.0576
LO-WE2,17_4,burned_post,2,0.207,0.0484
MO-FR1,17_4,unburned_post,2,0.213,0.0548
OR-LO,17_4,unburned_post,2,0.199,0.0711
OV-TR,17_4,burned_post,2,0.187,0.0438
RO-CA2,17_4,unburned_post,2,0.214,0.0636
SO-GY,17_4,burned_post,2,0.19,0.0538
UP-WE,17_4,burned_post,2,0.216,0.0531
WE-TR1,17_4,burned_post,2,0.226,0.0509
WE-TR3,17_4,burned_post,2,0.231,0.0525
AG-CH,18_1,unburned_post,3,0.203,0.0215
AU-TR,18_1,unburned_post,3,0.195,0.0312
BO-SP,18_1,unburned_post,3,0.21,0.0252
BO-TR,18_1,unburned_post,3,0.211,0.0298
CG-001,18_1,prefire,-10,0.313,0.0838
CG-002,18_1,prefire,-10,0.274,0.03
CG-003,18_1,prefire,-10,0.289,0.0435
CG-004,18_1,prefire,-10,0.296,0.0339
CG-005,18_1,prefire,-10,0.269,0.0333
CG-006,18_1,prefire,-10,0.269,0.0292
CG-016,18_1,prefire,-10,0.29,0.0379
CG-017,18_1,prefire,-10,0.225,0.0454
CG-018,18_1,prefire,-10,0.31,0.0273
CG-019,18_1,prefire,-10,0.242,0.033
CG-020,18_1,prefire,-10,0.3,0.0358
CG-029,18_1,prefire,-10,0.309,0.0445
CG-030,18_1,prefire,-10,0.313,0.0353
CG-031,18_1,prefire,-10,0.291,0.0349
CG-033,18_1,prefire,-10,0.3,0.0368
CG-042,18_1,prefire,-10,0.283,0.0328
CG-044,18_1,prefire,-10,0.295,0.0378
CG-045,18_1,prefire,-10,0.297,0.04
CG-047,18_1,prefire,-10,0.3,0.032
CG-048,18_1,prefire,-10,0.303,0.0283
CG-056,18_1,prefire,-10,0.291,0.0457
CG-057,18_1,prefire,-10,0.301,0.0348
CG-058,18_1,prefire,-10,0.315,0.0491
CG-059,18_1,prefire,-10,0.336,0.0258
CG-069,18_1,prefire,-10,0.314,0.0379
CG-070,18_1,prefire,-10,0.296,0.0342
CG-071,18_1,prefire,-10,0.308,0.0287
CG-073,18_1,prefire,-10,0.299,0.0334
CG-074,18_1,prefire,-10,0.319,0.0313
CG-075,18_1,prefire,-10,0.301,0.0354
CG-084,18_1,prefire,-10,0.338,0.0263
CG-085,18_1,prefire,-10,0.295,0.0409
CG-088,18_1,prefire,-10,0.308,0.0425
CG-089,18_1,prefire,-10,0.296,0.0325
CG-090,18_1,prefire,-10,0.287,0.0356
CG-092,18_1,prefire,-10,0.316,0.0293
CG-096,18_1,prefire,-10,0.292,0.025
CG-097,18_1,prefire,-10,0.339,0.0434
CG-098,18_1,prefire,-10,0.294,0.0421
CG-102,18_1,prefire,-10,0.309,0.0374
CG-103,18_1,prefire,-10,0.295,0.0347
CO-TR,18_1,unburned_post,3,0.196,0.023
DO-CA3,18_1,unburned_post,3,0.202,0.0222
DR-SP2,18_1,unburned_post,3,0.217,0.0217
EA-MW2,18_1,unburned_post,3,0.159,0.0343
FR-RO,18_1,unburned_post,3,0.187,0.033
GY-FO,18_1,burned_post,3,0.178,0.0219
IR-ME1,18_1,unburned_post,3,0.203,0.0252
IRC01,18_1,unburned_post,3,0.173,0.0427
IRC02,18_1,unburned_post,3,0.182,0.0246
IRC03,18_1,unburned_post,3,0.19,0.0296
IRC04,18_1,unburned_post,3,0.188,0.032
IRC05,18_1,unburned_post,3,0.193,0.0316
IRC06,18_1,unburned_post,3,0.198,0.0317
IRC07,18_1,unburned_post,3,0.196,0.0313
IRC09,18_1,unburned_post,3,0.194,0.0295
IRC10,18_1,unburned_post,3,0.198,0.0294
IRC12,18_1,unburned_post,3,0.199,0.0343
IRC13,18_1,unburned_post,3,0.192,0.0241
LI-ME2,18_1,unburned_post,3,0.212,0.0221
LO-WE2,18_1,burned_post,3,0.18,0.0164
MO-FR1,18_1,unburned_post,3,0.183,0.0313
OR-LO,18_1,unburned_post,3,0.17,0.0357
OV-TR,18_1,burned_post,3,0.183,0.0335
RO-CA2,18_1,unburned_post,3,0.175,0.0258
SO-GY,18_1,burned_post,3,0.184,0.0177
UP-WE,18_1,burned_post,3,0.195,0.0261
WE-TR1,18_1,burned_post,3,0.183,0.0222
WE-TR3,18_1,burned_post,3,0.193,0.0244
AG-CH,18_2,unburned_post,4,0.139,0.0215
AU-TR,18_2,unburned_post,4,0.156,0.0313
BO-SP,18_2,unburned_post,4,0.137,0.0255
BO-TR,18_2,unburned_post,4,0.144,0.025
CG-001,18_2,prefire,-9,0.313,0.0625
CG-002,18_2,prefire,-9,0.295,0.0383
CG-003,18_2,prefire,-9,0.308,0.0605
CG-004,18_2,prefire,-9,0.325,0.0372
CG-005,18_2,prefire,-9,0.3,0.0332
CG-006,18_2,prefire,-9,0.31,0.0266
CG-016,18_2,prefire,-9,0.311,0.0386
CG-017,18_2,prefire,-9,0.237,0.0466
CG-018,18_2,prefire,-9,0.331,0.0202
CG-019,18_2,prefire,-9,0.265,0.0387
CG-020,18_2,prefire,-9,0.317,0.0359
CG-029,18_2,prefire,-9,0.319,0.0376
